RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
37.6,280.65,124.94,24.62,54.73,43.05,11.26,74.77,103.31,45.26,39.41,63.68,74.78,32.49,48.67,55.81,22.4,85.49,134.28,71.79,116.45,280.65,124.94,24.62,54.73,43.05,11.26,74.77,103.31,45.26,39.41,63.9,74.47,35.34,43.88,57.25,22.61,78.43,130.27,72.61,92.83
53.86,137.57,96.01,125.33,83.81,53.15,11.37,41.87,43.6,86.81,66.27,46.22,58.06,140.65,88.78,65.37,25.61,36.66,47.8,87.56,191.8,137.57,96.01,125.33,83.81,53.15,11.37,41.87,43.6,86.81,66.27,38.41,58,134.29,89.7,63.61,27.07,41.36,52.24,83.37,153.38
105.44,261.91,189.81,52.12,75.76,27.78,29.3,79.08,101.99,104.66,37.66,173.33,140.54,54.25,132.81,39.57,70.69,107.04,96.15,129.1,144.54,261.91,189.81,52.12,75.76,27.78,29.3,79.08,101.99,104.66,37.66,170.92,134.56,62.21,119.07,56.8,83.41,110.09,99.97,131.3,135.2
167.53,219,209.63,60.28,90.85,129.32,29.47,44.5,99.35,102.09,43.93,149.91,190.88,75.54,152.25,217.61,106.49,55.49,120.93,151.62,113.46,219,209.63,60.28,90.85,129.32,29.47,44.5,99.35,102.09,43.93,150.35,185.77,92.58,153.69,210.08,132.64,78.64,124.33,158.36,113.59
99.23,273.75,112.75,117.21,68.41,67.53,79.55,105.75,62,159.1,71.42,176.6,94.92,161.84,97.76,123.05,193.55,156.34,85.46,214.48,113.26,273.75,112.75,117.21,68.41,67.53,79.55,105.75,62,159.1,71.42,179.33,105.18,161.08,103.82,126.22,182.03,148.19,87.13,269.2,113.07
72.36,187.06,65.01,110.58,57.31,68.29,58.81,62.87,66.93,147.3,61.6,147.32,117.99,175.25,112.99,133.77,131.59,127.43,99.03,217.85,95.48,187.06,65.01,110.58,57.31,68.29,58.81,62.87,66.93,147.3,61.6,147.44,129.58,159.22,114.67,131.19,149.24,130.87,102.75,249.35,94.82
26.72,66.44,37.41,64.42,47.65,36.68,46.82,18.33,107.03,75.27,39.8,35.5,44.73,65.21,64.47,58.49,30.46,37.12,113.72,97.19,48.15,66.44,37.41,64.42,47.65,36.68,46.82,18.33,107.03,75.27,39.8,33.83,44.14,66.39,64.65,56.49,34.02,37.26,108.22,104.94,48.05
15.82,37.97,80.03,30.52,42.27,3.78,82.45,5.87,3.32,19.91,7.86,6.98,29.37,25.87,28.75,4.64,18.3,8.84,4.85,26.08,21.07,37.97,80.03,30.52,42.27,3.78,82.45,5.87,3.32,19.91,7.86,3.54,39.07,25.36,42.67,1.79,22.03,5.75,4.46,29.62,19.48
23.01,30.55,21.75,11.77,34.52,15.19,34.88,9.62,4.66,0.13,0,4.82,8.81,9.16,20.84,14.99,5.26,10.66,5.05,0.36,0,30.55,21.75,11.77,34.52,15.19,34.88,9.62,4.66,0.13,0,2.29,6.18,5.74,20.23,24.56,1.41,6.26,4.18,0.82,0
10.23,78.19,40.34,25.93,12.51,7.84,131.98,13.65,4.65,2.59,0,6.76,11.05,15.8,6.3,5.04,18.51,8.11,4.23,5.2,0,78.19,40.34,25.93,12.51,7.84,131.98,13.65,4.65,2.59,0,4.03,7.39,21.06,3.55,3.31,24.43,4.93,2.08,4.5,0
11.4,99.6,48.9,48.02,29.41,21.07,105.5,34.5,62.14,2.15,29.76,15.19,13.64,39.44,16.7,14.03,38.11,30.99,53.98,6.12,160.9,99.6,48.9,48.02,29.41,21.07,105.5,34.5,62.14,2.15,29.76,5.06,4.51,43.59,10.05,5.79,52.52,49.44,73.26,1.88,147.73
15.44,216.89,124.95,62.83,73.76,49.43,38.14,9.32,49.53,36.61,5.2,36.79,44.02,57.88,40.37,38.73,42.82,16.97,42.28,72.28,15.96,216.89,124.95,62.83,73.76,49.43,38.14,9.32,49.53,36.61,5.2,42.07,42.35,57.27,26.99,31.89,38.1,13.36,59.8,77.29,16.83
51.14,203.12,53.1,25.73,71.82,37.94,17.54,21.06,27.08,40.23,8.16,46.09,31.77,33.94,63.87,49.16,34.86,24.08,35.19,63.82,24.1,203.12,53.1,25.73,71.82,37.94,17.54,21.06,27.08,40.23,8.16,39.31,32.14,35.98,61.58,49.91,35.07,31.21,36.2,65.26,32.88
72.58,153.32,121.23,121.15,51.65,72.52,10.54,101.32,20.34,64.3,15.33,51.53,73.3,135.96,54.7,89.21,23.74,88.63,22.29,64.84,44.37,153.32,121.23,121.15,51.65,72.52,10.54,101.32,20.34,64.3,15.33,45.64,72.47,122.82,54.26,87.37,25.42,89.01,28.68,80.7,40.7
66.48,158.83,94.12,154.25,57.54,63.59,32.32,145.31,106.12,118.56,37.44,105.09,69.69,160.6,100.88,90.59,77.98,196.65,100.05,146.26,143.71,158.83,94.12,154.25,57.54,63.59,32.32,145.31,106.12,118.56,37.44,104.75,75.3,151.2,107.21,98.66,83.15,171.76,100.26,160.25,143.65
174.55,250.65,125.03,56.78,109.07,91.05,55.88,63.28,84.25,132.32,48.31,171.54,113.86,71.19,182.86,153.18,201.93,78.86,102.51,196.53,124.77,250.65,125.03,56.78,109.07,91.05,55.88,63.28,84.25,132.32,48.31,171.21,127.02,80.69,176.76,146.6,192.85,101.27,110.38,213.18,133.44
144.6,141.45,135.42,119.66,98.1,91.43,76.78,121.34,94.71,121.37,65.11,56.73,113.99,165.21,140.17,166.59,186.85,179.37,130.51,163.65,103.25,141.45,135.42,119.66,98.1,91.43,76.78,121.34,94.71,121.37,65.11,56.59,121.76,165.94,139.58,159.55,181.4,173.88,131.09,166.79,103.54
140.14,182.05,91.45,73.39,41.71,75.48,112.76,54.99,90.78,123.91,73.75,143.38,165.97,116.32,82.27,147.85,252.32,111.46,134.25,183.25,114.3,182.05,91.45,73.39,41.71,75.48,112.76,54.99,90.78,123.91,73.75,142.87,169.49,117.93,85.86,150.54,219.31,118.81,133.03,205.01,113.06
45.49,104.87,64.57,55.47,44.31,43.19,42.65,22.1,54.55,31.94,25.18,56.06,77.23,56.16,59.94,68.87,27.74,44.79,57.93,41.22,30.46,104.87,64.57,55.47,44.31,43.19,42.65,22.1,54.55,31.94,25.18,55.64,79.5,55.74,59.3,65.22,31.93,44.86,56.95,42.56,30.8
45.49,200.63,100.33,30.14,27.27,15.73,82.22,10.01,45.1,20.23,1.24,37.03,36.8,25.56,18.55,19.21,18.27,15.08,65.84,26.51,3.32,200.63,100.33,30.14,27.27,15.73,82.22,10.01,45.1,20.23,1.24,42.63,49.1,26.06,11.58,13.42,15.45,12.32,70.55,29.43,2.69
6.16,69,52.51,1.98,35.92,8.85,162.43,15.03,6.2,1.7,0.04,10.88,21.24,1.55,21.65,8.73,24.45,16.69,6.74,4.76,0.49,69,52.51,1.98,35.92,8.85,162.43,15.03,6.2,1.7,0.04,10.06,18.93,0.43,19.62,7.33,26.96,16.05,5.45,6.14,3.64
3.7,71.02,46.81,12.57,17.95,1.5,54.52,20.65,12.7,8.13,2.59,6.13,12.82,7.64,9.08,0.97,7.65,12.29,11.51,16.34,12.03,71.02,46.81,12.57,17.95,1.5,54.52,20.65,12.7,8.13,2.59,4.27,12.51,3.75,6.5,0.49,3.35,15.07,10.72,13.84,14.43
7.14,163.28,127.47,13.95,31.88,21.51,65.01,32.1,21.48,18.16,4.09,24.86,35.63,11.46,18.13,14.34,23.47,28.87,18.67,51.6,22.11,163.28,127.47,13.95,31.88,21.51,65.01,32.1,21.48,18.16,4.09,17.18,34.48,7.68,10.48,9.01,11.09,25.4,16.21,74.41,22.41
19.1,215.71,51.9,49.39,43.13,52.86,62.85,15.37,38.77,33.05,35.66,36.61,18.22,45.48,23.62,41.42,70.51,27.98,33.08,65.25,109.49,215.71,51.9,49.39,43.13,52.86,62.85,15.37,38.77,33.05,35.66,26.79,4.52,46.05,13.91,35.24,81.25,23.06,20.31,79.19,109.38
44.46,226.03,120.97,18.53,52.47,29.07,26.54,66.21,43.3,21.01,12.98,51.25,72.4,24.43,46.67,37.67,52.73,75.7,56.24,33.33,38.37,226.03,120.97,18.53,52.47,29.07,26.54,66.21,43.3,21.01,12.98,46.64,72.55,28.6,43.54,41.18,52.69,64.16,56.73,31.44,58.62
36.47,246.09,74.24,60.47,72.71,66.51,6.87,208.47,51.72,82.9,71.96,82.65,44.91,67.86,77.01,81.8,15.47,182.4,56.69,83.6,208.25,246.09,74.24,60.47,72.71,66.51,6.87,208.47,51.72,82.9,71.96,84.71,44.33,68.47,77.4,81.32,16.61,159.51,60.62,79.89,130.63
123.63,125.97,119.43,193.99,56.81,149.98,25.15,57.25,139.88,103.83,76.63,83.36,88.4,201.99,99.6,213.66,60.64,77.48,131.86,128.1,294.12,125.97,119.43,193.99,56.81,149.98,25.15,57.25,139.88,103.83,76.63,84.51,91.26,168.3,107.6,183.94,72.24,86.09,131.52,131.09,152.1
176.08,200.28,144.07,78.1,74.17,55.43,42.83,90.76,135.33,85.35,116.14,137.03,131.17,97.91,124.35,93.28,154.77,113.16,164.72,126.76,299.92,200.28,144.07,78.1,74.17,55.43,42.83,90.76,135.33,85.35,116.14,137.32,140.38,110.43,133.46,103.73,161.44,122.67,169.28,114.04,253.34
113.62,227.04,181.94,106.6,122.47,105.08,85.92,59.27,129.2,103.81,128.62,146.46,153.16,147.2,175.03,191.45,209.1,87.62,178.07,139.93,203.96,227.04,181.94,106.6,122.47,105.08,85.92,59.27,129.2,103.81,128.62,146.09,148.39,146.61,170.31,185.63,188.04,97.22,178.71,138.56,203.87
163.35,262.55,77.77,110.15,96.73,51.52,35.43,40.07,72.99,127.89,112.52,206.78,141.15,174.58,190.78,100.9,79.28,81.24,107.92,189.15,174.38,262.55,77.77,110.15,96.73,51.52,35.43,40.07,72.99,127.89,112.52,205.03,148,172.43,188.95,121.24,102.69,97.54,112.42,208.49,174.05
52.49,105.4,51.1,54.1,53.16,32.37,33.22,19.23,76.85,87.6,45.89,56.33,61.13,54.75,71.95,51.59,21.6,38.96,81.63,113.08,55.55,105.4,51.1,54.1,53.16,32.37,33.22,19.23,76.85,87.6,45.89,56.7,60.42,54.94,75.51,51.28,24.8,39.08,79.67,123.15,55.01
23.02,50.34,35.49,20.62,11.41,8.38,83.31,23.29,13.62,21.75,0,9.27,13.01,17.48,7.77,10.24,18.48,35.06,19.9,28.51,0,50.34,35.49,20.62,11.41,8.38,83.31,23.29,13.62,21.75,0,4.65,5.65,12.69,4.32,5.39,16.03,44.83,18.85,19.79,0
20.81,72.77,13.56,13.48,19.75,14.44,100.62,10.93,18.35,4.39,0.31,11.51,5.47,10.49,11.93,14.27,15.15,12.14,19.92,12.3,3.81,72.77,13.56,13.48,19.75,14.44,100.62,10.93,18.35,4.39,0.31,8.83,1.19,7.53,6.84,11.07,13.66,9.98,17.28,15.86,6.65
3.04,43.82,88.35,23.71,20.28,12.27,79.54,3.82,3.34,3.2,0.42,3.79,24.21,14.41,10.25,7.9,11.14,2.25,3.03,6.4,1.96,43.82,88.35,23.71,20.28,12.27,79.54,3.82,3.34,3.2,0.42,2.03,34.92,13.21,6.61,6.11,6.83,1.24,1.45,3.2,5.7
36.95,137.5,136.2,36.25,43.26,47.07,178.89,17.3,19.05,11.83,5.39,20.94,38.05,29.8,24.6,31.35,64.59,15.54,16.56,33.62,29.14,137.5,136.2,36.25,43.26,47.07,178.89,17.3,19.05,11.83,5.39,18.39,66.28,35.49,32.97,39.32,95.79,9.92,10.86,38.31,28.65
35.31,233.25,124.93,74.78,120.93,54.04,26.7,30.62,63.99,34.72,3.78,39.55,43.98,68.89,66.21,42.34,29.96,55.69,54.58,68.55,11.6,233.25,124.93,74.78,120.93,54.04,26.7,30.62,63.99,34.72,3.78,29.67,65.15,72.74,76.12,37.23,29.16,54.72,66.86,74.19,12.13
61.79,312.27,107.13,70.29,59.61,19.66,16.38,18.02,38.86,26.6,4.98,70.82,64.12,92.65,53.06,25.48,32.55,20.6,50.52,42.2,14.72,312.27,107.13,70.29,59.61,19.66,16.38,18.02,38.86,26.6,4.98,72.69,64.24,84.11,45.43,29.04,32.83,30.07,50.68,40.86,22.96
57,198.82,135.71,59.2,77.01,89.2,15.68,72.28,118.55,46.84,5.82,66.81,82.07,66.44,81.58,109.68,35.31,63.24,129.95,47.21,16.84,198.82,135.71,59.2,77.01,89.2,15.68,72.28,118.55,46.84,5.82,65.36,82.37,66.96,81.58,102.48,36.91,62.73,115.66,40.04,39.48
60.87,138.31,273.06,112.17,46.05,79.69,26.2,47.8,61.39,56.3,36.9,91.49,202.18,116.81,80.74,113.53,63.22,64.71,57.86,69.43,141.64,138.31,273.06,112.17,46.05,79.69,26.2,47.8,61.39,56.3,36.9,92.62,187.37,109.54,90.78,118.4,75.72,77.98,71.42,63.76,126.75
144.13,235.43,162.97,71.68,85.06,115.29,55.11,203.76,135.04,42.18,62.99,161.11,148.38,89.87,142.62,193.98,199.14,254.1,164.38,62.66,162.68,235.43,162.97,71.68,85.06,115.29,55.11,203.76,135.04,42.18,62.99,160.94,151.14,101.62,145.83,191.26,188.46,228.5,166.04,52.32,160.34
39.48,112.37,191.42,102.88,103.95,133.24,26.75,75.09,102.14,78.93,142.41,72.53,161.15,142.05,148.56,242.74,65.08,111.01,140.73,106.42,225.84,112.37,191.42,102.88,103.95,133.24,26.75,75.09,102.14,78.93,142.41,69.04,159.79,129.92,150.17,230.86,79.66,118.25,141.19,93.58,225.4
109.21,183.56,57.37,79.42,61.15,104.06,38.82,85.74,81.01,72.87,110.67,144.54,104.11,125.91,120.57,203.81,86.89,173.81,119.79,107.77,171.52,183.56,57.37,79.42,61.15,104.06,38.82,85.74,81.01,72.87,110.67,144.26,108.19,131.21,123.57,190.49,98.97,162.41,124.87,95.62,170.92
49.75,126.82,75.83,52.61,43.72,39.51,60.34,23.42,67.1,43.41,71.16,67.78,90.69,53.27,59.17,62.97,39.24,47.45,71.27,56.05,86.08,126.82,75.83,52.61,43.72,39.51,60.34,23.42,67.1,43.41,71.16,67.83,92.29,53.04,60.51,63.18,41.69,47.48,71.96,53.82,88.71
23.25,103.1,45.03,13.69,16.37,32.89,86.92,18.43,20.44,3.11,5.46,19.01,16.51,11.63,11.13,40.16,19.29,27.76,29.83,4.08,14.62,103.1,45.03,13.69,16.37,32.89,86.92,18.43,20.44,3.11,5.46,16.3,15,8.07,6.18,42.63,20.91,27.45,29.3,1.63,14.11
70.56,33.8,64.34,7.72,25.7,16.58,137.24,12.34,24.96,0.02,1.02,5.32,26.03,6.02,15.51,16.4,20.65,13.68,27.15,0.06,12.56,33.8,64.34,7.72,25.7,16.58,137.24,12.34,24.96,0.02,1.02,2.2,42.35,3.77,18.24,9.69,20.86,11.34,27.91,0.16,19.62
13.69,14.85,33.77,25.47,16.8,3.33,142.3,17.69,21.66,3.77,0.25,1.27,9.24,15.51,8.5,2.16,19.95,10.53,19.58,7.57,1.16,14.85,33.77,25.47,16.8,3.33,142.3,17.69,21.66,3.77,0.25,0.15,8.43,17.07,5.02,1.2,21.83,4.91,25.52,7.69,4.72
46.13,110.05,126.9,70.99,27.37,9.32,130.85,32.25,6.33,8.75,3.93,16.75,35.44,58.32,15.57,6.21,47.27,28.99,5.5,24.87,21.26,110.05,126.9,70.99,27.37,9.32,130.85,32.25,6.33,8.75,3.93,8.91,54.85,87.71,8.81,1.26,57.95,24.51,4.38,29.01,22.39
46.95,162.45,118.97,46.15,54.38,53.71,34.57,27.75,85.26,9.2,54.16,27.56,41.86,42.52,29.8,42.11,38.77,50.48,72.73,18.16,166.28,162.45,118.97,46.15,54.38,53.71,34.57,27.75,85.26,9.2,54.16,20.32,27.98,43.55,17.56,37.25,34.27,55.14,139.51,15.42,161.23
61.69,235.13,99.91,74.68,52.52,22.22,22.07,33,59.77,45.87,7.66,53.32,59.79,98.48,46.71,28.78,43.83,37.76,77.67,72.76,22.63,235.13,99.91,74.68,52.52,22.22,22.07,33,59.77,45.87,7.66,54.2,60.02,88.03,41.42,32.84,43.94,42.78,75.84,74.71,39.9
171.77,160.88,99.57,60.69,45.78,52.48,57.17,58.81,59.25,90.41,43.47,54.03,60.17,68.13,48.47,64.54,128.68,51.42,64.94,91.17,125.81,160.88,99.57,60.69,45.78,52.48,57.17,58.81,59.25,90.41,43.47,48.51,59.36,70.12,48.1,66.83,125.73,54.41,67.77,113.1,97.72
104.99,117.17,162.83,97.29,75.09,108.62,43.55,114.87,68.55,98.16,18.07,77.52,120.57,101.3,131.63,154.75,105.08,155.47,64.67,121.09,69.37,117.17,162.83,97.29,75.09,108.62,43.55,114.87,68.55,98.16,18.07,78.63,112.73,107.97,125.87,131.12,110.77,140.71,76.16,122.27,59.15
137.65,211.06,222.8,149.09,67.71,119.8,29.95,62.23,71.21,91.86,73.48,144.43,202.89,186.92,113.52,201.6,108.2,77.59,86.68,136.47,189.79,211.06,222.8,149.09,67.71,119.8,29.95,62.23,71.21,91.86,73.48,144.68,172.89,188.04,122.37,195.24,125.18,98.38,95.58,126.5,201.61
147.71,178.38,193.01,124.93,81.43,67.46,106.23,122.04,60.72,109.24,145.77,115.1,162.48,172.54,116.37,122.9,258.49,180.42,83.7,147.28,231.17,178.38,193.01,124.93,81.43,67.46,106.23,122.04,60.72,109.24,145.77,112.63,156.71,169.68,121.21,127.26,201.66,178.33,85.54,138.11,230.88
153.61,173.55,27.41,86.87,65.53,68.45,54.19,44.02,86.34,95.59,102.09,136.66,49.77,137.7,129.22,134.09,121.27,89.26,127.7,141.38,158.21,173.55,27.41,86.87,65.53,68.45,54.19,44.02,86.34,95.59,102.09,137.14,71.85,138.39,131.27,127.45,117.12,104.63,133.02,144.27,159.39
52.34,147.31,43.96,105.2,24.92,39.01,57.75,24.93,55.14,66.56,38.09,78.76,52.59,106.53,33.71,62.2,37.58,50.49,58.57,85.91,46.07,147.31,43.96,105.2,24.92,39.01,57.75,24.93,55.14,66.56,38.09,81.32,51.93,108.31,29.72,63.42,38.98,50.54,55.02,91.17,46.15
38.38,142.98,52.71,23.44,22.84,30.08,103.03,11.74,5,8.78,22.66,26.41,19.33,19.89,15.53,36.77,22.91,17.69,7.29,11.5,60.72,142.98,52.71,23.44,22.84,30.08,103.03,11.74,5,8.78,22.66,30.11,15.16,18.11,8.32,43.19,29.91,15.14,6.65,9.81,62.64
17.16,187.99,29.24,11.22,62.41,11.82,104.38,21.02,12.44,5.99,6.43,29.7,11.85,8.77,37.66,11.69,15.7,23.32,13.52,16.79,79.16,187.99,29.24,11.22,62.41,11.82,104.38,21.02,12.44,5.99,6.43,44.15,9.91,5.56,62.27,7.1,8.82,42.53,13.59,19.3,55.24
12.92,270.6,17.14,14.89,8.31,20.24,53.7,6.51,23.64,12.1,0.43,23.47,4.7,9.06,4.2,13.03,7.56,3.88,21.37,24.32,2,270.6,17.14,14.89,8.31,20.24,53.7,6.51,23.64,12.1,0.43,29.87,2.06,6.57,1.86,11.29,3.95,5.12,25.33,27.31,10.33
5.76,214.05,46.46,68.03,8.61,48.94,45.87,15.29,63.61,7.62,9.98,32.62,12.95,55.87,4.9,32.57,16.57,13.74,55.28,21.65,53.96,214.05,46.46,68.03,8.61,48.94,45.87,15.29,63.61,7.62,9.98,21.87,6.14,96.5,1.33,28.64,6.99,5.99,62.07,22.99,55.46
23.35,442.87,189.18,36.76,87.57,52.8,27.76,11.99,29.32,35.8,3.37,75.09,66.61,33.86,47.93,41.38,31.14,21.81,25.01,70.67,10.36,442.87,189.18,36.76,87.57,52.8,27.76,11.99,29.32,35.8,3.37,111.51,88.19,26.4,72.76,45.41,28.37,16.39,11.54,91.36,11.94
59.75,309.4,85.53,24.65,57.08,41.29,17.66,38.22,34.06,33.17,3.8,70.15,51.22,32.51,50.74,53.52,35.07,43.7,44.25,52.61,11.22,309.4,85.53,24.65,57.08,41.29,17.66,38.22,34.06,33.17,3.8,70.72,51.54,36.58,45.32,56.43,35.31,50.74,45.39,52.8,20.56
56.26,184.4,66.64,27.15,135.68,25.49,29.25,140.75,27.17,110.56,19.87,61.96,40.3,30.49,143.67,31.34,65.84,123.12,29.78,111.49,57.51,184.4,66.64,27.15,135.68,25.49,29.25,140.75,27.17,110.56,19.87,62.71,38.86,33.62,145.15,35.28,65.32,112.98,35.88,130.8,64.13
50.64,138.03,233.01,104.29,120.8,65.34,41.15,142.53,99.46,117.71,34.4,91.35,172.5,108.6,211.76,93.08,99.27,192.94,93.75,145.21,132.03,138.03,233.01,104.29,120.8,65.34,41.15,142.53,99.46,117.71,34.4,92.41,158.77,111.9,170.64,95.37,104.11,175.65,96.58,143.47,118.3
81.26,285.51,233.36,178.09,78.51,95.52,15.6,158.4,66.53,128.9,64.13,195.41,212.5,223.29,131.62,160.72,56.36,197.52,80.96,191.5,165.64,285.51,233.36,178.09,78.51,95.52,15.6,158.4,66.53,128.9,64.13,194.76,201.97,212.67,130.85,163.37,69.75,185.7,89.83,190.89,168.52
128.51,199.19,154.18,74.17,123.17,74.94,45.3,75.65,73.78,86.97,88.24,93.96,129.78,102.4,176.01,136.54,110.28,111.87,101.68,117.26,139.92,199.19,154.18,74.17,123.17,74.94,45.3,75.65,73.78,86.97,88.24,96.86,132.72,114.01,172.44,130.46,118.44,116.03,103.35,107.98,140
93.2,163.68,25.68,76.49,77.86,74.82,43.6,79.93,31.63,112.58,149.58,128.92,46.62,121.25,153.56,146.54,97.57,162.06,46.78,166.49,231.83,163.68,25.68,76.49,77.86,74.82,43.6,79.93,31.63,112.58,149.58,128.89,69.2,129.04,152.26,152.84,116.33,155.68,53.98,182.09,237.49
33.68,78.8,29.79,36.02,60.76,38.31,95.42,28.56,38.43,55.15,24.82,42.12,35.64,36.48,82.23,61.09,62.07,57.86,40.84,71.19,30.03,78.8,29.79,36.02,60.76,38.31,95.42,28.56,38.43,55.15,24.82,40.59,34.72,35.99,93.88,60.01,58.44,57.99,43.94,70.5,29.54
3.58,87.33,25.64,15.58,47.05,14.98,124.89,24.31,24.04,2.44,14.19,16.14,9.39,13.2,31.99,18.29,27.72,36.63,35.08,3.2,38,87.33,25.64,15.58,47.05,14.98,124.89,24.31,24.04,2.44,14.19,13.4,3.47,10.99,40.77,15.96,42.51,57.7,37.78,1.3,36.92
24.88,98.58,34.53,9.94,37.36,27.73,116.43,28.17,5.56,18.18,0.28,15.54,13.96,7.72,22.56,27.4,17.53,31.3,6.04,50.89,3.44,98.58,34.53,9.94,37.36,27.73,116.43,28.17,5.56,18.18,0.28,13.09,6.16,4.18,20.16,38.04,22.59,37.48,4.92,49.25,7.62
29.38,172.4,27.39,22.31,15.24,44.14,136.27,43.26,6,11.11,7.57,14.97,7.49,13.58,7.69,28.36,19.12,25.71,5.45,22.34,35.15,172.4,27.39,22.31,15.24,44.14,136.27,43.26,6,11.11,7.57,14.31,4.33,11.72,5.91,36.86,27.25,34.43,4.55,24.81,27.92
62.68,257.16,105.5,39.17,132.52,71,47.59,38.12,24.46,30.65,0.16,39.18,29.48,32.17,75.35,47.26,17.16,34.27,21.24,87.07,0.87,257.16,105.5,39.17,132.52,71,47.59,38.12,24.46,30.65,0.16,33.87,20.54,22.92,116,31.26,25.94,40.94,12.83,124.12,1.05
13.83,351.6,112.17,26.63,67.77,52.6,13.79,20.32,43.43,22.12,2.69,59.65,39.5,24.55,37.12,41.2,15.45,36.97,37.05,43.66,8.25,351.6,112.17,26.63,67.77,52.6,13.79,20.32,43.43,22.12,2.69,56.26,35.44,14.55,55.88,42.59,12.47,33.94,24.44,32.43,9.48
